订单号,订单日期,品类,商品名称,数量,单价,销售额,成本,利润,地区,渠道,客户类型
SO-20250417-0227,2025-04-17 09:00:00,电子产品,便携充电宝,1,129,129,77.99,51.01,华中,小程序,会员
SO-20250418-0228,2025-04-18 07:00:00,家居日用,香薰蜡烛,2,69,138,94.47,43.53,西南,线下门店,新客
SO-20250418-0229,2025-04-18 19:00:00,家居日用,香薰蜡烛,3,69,207,139.48,67.52,华南,直播带货,新客
SO-20250419-0230,2025-04-19 04:00:00,服装鞋帽,轻薄羽绒服,4,899,3596,2561.06,1034.94,华南,小程序,老客
SO-20250419-0231,2025-04-19 16:00:00,家居日用,收纳箱,2,45,90,52.51,37.49,华东,小程序,会员
SO-20250419-0232,2025-04-19 19:00:00,食品饮料,精品咖啡豆,1,108,108,79.96,28.04,华中,小程序,新客
SO-20250420-0233,2025-04-20 08:00:00,电子产品,无线蓝牙耳机,2,299,598,408.9,189.1,华北,小程序,老客
SO-20250421-0234,2025-04-21 03:00:00,服装鞋帽,轻薄羽绒服,3,899,2697,2140.9,556.1,华北,线上商城,新客
SO-20250423-0235,2025-04-23 08:00:00,服装鞋帽,牛仔裤,1,259,259,153.84,105.16,华中,线上商城,老客
SO-20250423-0236,2025-04-23 20:00:00,食品饮料,进口红酒,4,268,1072,724.1,347.9,华北,直播带货,新客
SO-20250423-0237,2025-04-23 22:00:00,电子产品,机械键盘,2,499,998,738.54,259.46,华南,小程序,新客
SO-20250424-0238,2025-04-24 06:00:00,电子产品,无线蓝牙耳机,2,299,598,454.42,143.58,华南,线下门店,老客
SO-20250424-0239,2025-04-24 06:00:00,电子产品,机械键盘,2,499,998,587.67,410.33,东北,线下门店,老客
SO-20250424-0240,2025-04-24 12:00:00,家居日用,水洗棉四件套,3,329,987,780.69,206.31,华南,直播带货,新客
SO-20250424-0241,2025-04-24 12:00:00,美妆个护,氨基酸洗面奶,5,89,445,350.82,94.18,东北,线上商城,老客
SO-20250425-0242,2025-04-25 02:00:00,服装鞋帽,轻薄羽绒服,4,899,3596,2027.28,1568.72,东北,线上商城,老客
SO-20250425-0243,2025-04-25 12:00:00,服装鞋帽,纯棉T恤,3,79,237,172.77,64.23,东北,小程序,新客
SO-20250425-0244,2025-04-25 18:00:00,电子产品,便携充电宝,5,129,645,434.05,210.95,东北,直播带货,老客
SO-20250425-0245,2025-04-25 21:00:00,电子产品,便携充电宝,1,129,129,90.6,38.4,西南,小程序,会员
SO-20250427-0246,2025-04-27 04:00:00,电子产品,机械键盘,2,499,998,673.18,324.82,华南,直播带货,新客
SO-20250427-0247,2025-04-27 10:00:00,家居日用,水洗棉四件套,1,329,329,185.16,143.84,华东,线上商城,会员
SO-20250427-0248,2025-04-27 16:00:00,食品饮料,精品咖啡豆,4,108,432,271.89,160.11,西南,小程序,新客
SO-20250428-0249,2025-04-28 01:00:00,家居日用,收纳箱,4,45,180,136.36,43.64,华东,小程序,会员
SO-20250428-0250,2025-04-28 15:00:00,美妆个护,口红,2,219,438,286.67,151.33,华东,线下门店,老客
SO-20250429-0251,2025-04-29 04:00:00,电子产品,智能手表,4,1299,5196,3353.5,1842.5,华中,小程序,会员
SO-20250429-0252,2025-04-29 11:00:00,美妆个护,口红,1,219,219,151.3,67.7,西南,直播带货,新客
SO-20250429-0253,2025-04-29 21:00:00,食品饮料,精品咖啡豆,4,108,432,348.41,83.59,华南,小程序,会员
SO-20250430-0254,2025-04-30 01:00:00,食品饮料,进口红酒,1,268,268,193.82,74.18,华南,直播带货,新客
SO-20250430-0255,2025-04-30 04:00:00,服装鞋帽,纯棉T恤,5,79,395,238.35,156.65,华东,线下门店,会员
SO-20250430-0256,2025-04-30 18:00:00,家居日用,香薰蜡烛,2,69,138,106.51,31.49,华东,小程序,会员
SO-20250430-0257,2025-04-30 22:00:00,电子产品,便携充电宝,3,129,387,253.87,133.13,华东,线下门店,会员
SO-20250501-0258,2025-05-01 08:00:00,电子产品,便携充电宝,2,129,258,185.57,72.43,华北,线上商城,老客
SO-20250501-0259,2025-05-01 14:00:00,服装鞋帽,纯棉T恤,2,79,158,104.02,53.98,西南,小程序,新客
SO-20250501-0260,2025-05-01 17:00:00,食品饮料,有机牛奶,5,59,295,232.24,62.76,东北,直播带货,会员
SO-20250501-0261,2025-05-01 23:00:00,电子产品,便携充电宝,3,129,387,280.4,106.6,华北,线上商城,新客
SO-20250502-0262,2025-05-02 11:00:00,电子产品,无线蓝牙耳机,5,299,1495,913.64,581.36,西南,小程序,会员
SO-20250502-0263,2025-05-02 13:00:00,服装鞋帽,轻薄羽绒服,3,899,2697,1664.24,1032.76,华南,直播带货,新客
SO-20250502-0264,2025-05-02 22:00:00,电子产品,智能手表,3,1299,3897,2325.37,1571.63,华中,直播带货,新客
SO-20250503-0265,2025-05-03 23:00:00,食品饮料,坚果礼盒,4,158,632,357.64,274.36,西南,线上商城,会员
SO-20250504-0266,2025-05-04 10:00:00,食品饮料,精品咖啡豆,3,108,324,198.55,125.45,华北,小程序,老客
SO-20250504-0267,2025-05-04 19:00:00,服装鞋帽,牛仔裤,3,259,777,488.15,288.85,西南,直播带货,老客
SO-20250505-0268,2025-05-05 02:00:00,美妆个护,口红,3,219,657,439.78,217.22,华中,线上商城,会员
SO-20250505-0269,2025-05-05 03:00:00,美妆个护,氨基酸洗面奶,1,89,89,68.7,20.3,华北,线上商城,新客
SO-20250505-0270,2025-05-05 12:00:00,家居日用,收纳箱,5,45,225,164.94,60.06,华东,线上商城,会员
SO-20250505-0271,2025-05-05 22:00:00,服装鞋帽,牛仔裤,3,259,777,565.6,211.4,华东,直播带货,老客
SO-20250505-0272,2025-05-05 23:00:00,电子产品,便携充电宝,3,129,387,255.5,131.5,华北,直播带货,新客
SO-20250506-0273,2025-05-06 07:00:00,美妆个护,氨基酸洗面奶,5,89,445,295.26,149.74,东北,线下门店,会员
SO-20250506-0274,2025-05-06 14:00:00,食品饮料,精品咖啡豆,3,108,324,186.67,137.33,西南,线下门店,新客
SO-20250507-0275,2025-05-07 07:00:00,家居日用,落地灯,1,199,199,144.27,54.73,华北,线上商城,老客
SO-20250507-0276,2025-05-07 13:00:00,家居日用,收纳箱,3,45,135,84.62,50.38,东北,直播带货,新客
SO-20250508-0277,2025-05-08 15:00:00,食品饮料,进口红酒,2,268,536,402.65,133.35,华东,直播带货,新客
SO-20250509-0278,2025-05-09 11:00:00,电子产品,机械键盘,2,499,998,720.88,277.12,西南,直播带货,新客
SO-20250509-0279,2025-05-09 12:00:00,电子产品,无线蓝牙耳机,4,299,1196,750.63,445.37,华南,线上商城,新客
SO-20250509-0280,2025-05-09 14:00:00,服装鞋帽,运动鞋,2,399,798,445.97,352.03,华南,直播带货,新客
SO-20250509-0281,2025-05-09 20:00:00,美妆个护,口红,4,219,876,509.21,366.79,东北,小程序,老客
SO-20250513-0282,2025-05-13 16:00:00,服装鞋帽,轻薄羽绒服,1,899,899,633.09,265.91,东北,线下门店,新客
SO-20250514-0283,2025-05-14 17:00:00,服装鞋帽,牛仔裤,4,259,1036,776.38,259.62,华北,直播带货,会员
SO-20250514-0284,2025-05-14 19:00:00,家居日用,水洗棉四件套,4,329,1316,915.5,400.5,东北,直播带货,会员
SO-20250514-0285,2025-05-14 19:00:00,美妆个护,口红,1,219,219,151.28,67.72,华南,直播带货,老客
SO-20250515-0286,2025-05-15 00:00:00,美妆个护,淡香水,1,499,499,298.6,200.4,西南,小程序,会员
SO-20250515-0287,2025-05-15 15:00:00,美妆个护,保湿精华,3,359,1077,666.37,410.63,西南,直播带货,新客
SO-20250516-0288,2025-05-16 00:00:00,食品饮料,有机牛奶,5,59,295,219.86,75.14,西南,直播带货,老客
SO-20250516-0289,2025-05-16 08:00:00,美妆个护,口红,3,219,657,525.75,131.25,华中,小程序,老客
SO-20250518-0290,2025-05-18 03:00:00,美妆个护,口红,2,219,438,271.08,166.92,华中,小程序,老客
SO-20250518-0291,2025-05-18 09:00:00,服装鞋帽,纯棉T恤,3,79,237,142.99,94.01,东北,小程序,会员
SO-20250518-0292,2025-05-18 22:00:00,家居日用,收纳箱,2,45,90,68.69,21.31,华东,直播带货,新客
SO-20250519-0293,2025-05-19 01:00:00,美妆个护,淡香水,4,499,1996,1556.81,439.19,华中,线上商城,老客
SO-20250519-0294,2025-05-19 01:00:00,家居日用,香薰蜡烛,5,69,345,261.55,83.45,华东,小程序,老客
SO-20250519-0295,2025-05-19 12:00:00,家居日用,落地灯,3,199,597,438.88,158.12,华南,直播带货,会员
SO-20250520-0296,2025-05-20 17:00:00,食品饮料,有机牛奶,4,59,236,192.24,43.76,华北,线下门店,会员
SO-20250520-0297,2025-05-20 22:00:00,电子产品,机械键盘,5,499,2495,1892.65,602.35,华中,线下门店,老客
SO-20250521-0298,2025-05-21 09:00:00,服装鞋帽,运动鞋,4,399,1596,1128.16,467.84,华北,线上商城,老客
SO-20250521-0299,2025-05-21 14:00:00,美妆个护,口红,3,219,657,421.49,235.51,华北,直播带货,新客
SO-20250522-0300,2025-05-22 00:00:00,食品饮料,坚果礼盒,5,158,790,511.63,278.37,华南,直播带货,新客
SO-20250522-0301,2025-05-22 01:00:00,食品饮料,坚果礼盒,4,158,632,348.75,283.25,华南,小程序,会员
SO-20250522-0302,2025-05-22 10:00:00,食品饮料,有机牛奶,5,59,295,185.22,109.78,华南,小程序,老客
SO-20250522-0303,2025-05-22 13:00:00,电子产品,便携充电宝,4,129,516,373.09,142.91,华北,线上商城,会员
SO-20250522-0304,2025-05-22 19:00:00,服装鞋帽,纯棉T恤,3,79,237,180.22,56.78,华南,直播带货,会员
SO-20250523-0305,2025-05-23 10:00:00,服装鞋帽,纯棉T恤,2,79,158,97.89,60.11,华东,线上商城,会员
SO-20250524-0306,2025-05-24 00:00:00,电子产品,无线蓝牙耳机,3,299,897,541.83,355.17,华中,小程序,老客
SO-20250524-0307,2025-05-24 01:00:00,家居日用,收纳箱,5,45,225,129.12,95.88,东北,直播带货,新客
SO-20250524-0308,2025-05-24 08:00:00,美妆个护,淡香水,2,499,998,557.76,440.24,西南,线上商城,会员
SO-20250524-0309,2025-05-24 14:00:00,服装鞋帽,纯棉T恤,1,79,79,62.5,16.5,东北,线上商城,会员
SO-20250524-0310,2025-05-24 15:00:00,美妆个护,保湿精华,3,359,1077,829.03,247.97,华中,线上商城,老客
SO-20250524-0311,2025-05-24 23:00:00,美妆个护,淡香水,2,499,998,701.27,296.73,西南,线上商城,会员
SO-20250525-0312,2025-05-25 16:00:00,家居日用,水洗棉四件套,5,329,1645,1324.54,320.46,东北,线上商城,老客
SO-20250525-0313,2025-05-25 22:00:00,食品饮料,精品咖啡豆,2,108,216,126.86,89.14,华中,线上商城,会员
SO-20250527-0314,2025-05-27 11:00:00,食品饮料,精品咖啡豆,2,108,216,137.69,78.31,华北,线下门店,新客
SO-20250528-0315,2025-05-28 06:00:00,食品饮料,精品咖啡豆,2,108,216,129.61,86.39,华北,线上商城,新客
SO-20250529-0316,2025-05-29 11:00:00,美妆个护,淡香水,4,499,1996,1447.64,548.36,华中,线下门店,会员
SO-20250530-0317,2025-05-30 00:00:00,食品饮料,进口红酒,3,268,804,604.83,199.17,华中,直播带货,老客
SO-20250601-0318,2025-06-01 11:00:00,电子产品,便携充电宝,5,129,645,508.07,136.93,西南,线上商城,老客
SO-20250601-0319,2025-06-01 22:00:00,家居日用,收纳箱,4,45,180,118.05,61.95,东北,线下门店,老客
SO-20250602-0320,2025-06-02 01:00:00,美妆个护,淡香水,5,499,2495,1588.86,906.14,华南,小程序,会员
SO-20250602-0321,2025-06-02 01:00:00,食品饮料,坚果礼盒,2,158,316,173.94,142.06,华南,线上商城,老客
SO-20250602-0322,2025-06-02 02:00:00,食品饮料,有机牛奶,5,59,295,162.54,132.46,华南,线上商城,新客
SO-20250602-0323,2025-06-02 11:00:00,家居日用,收纳箱,1,45,45,27.88,17.12,华北,小程序,新客
SO-20250603-0324,2025-06-03 00:00:00,家居日用,香薰蜡烛,1,69,69,47.54,21.46,东北,线上商城,新客
SO-20250603-0325,2025-06-03 07:00:00,美妆个护,氨基酸洗面奶,3,89,267,174.53,92.47,华北,线下门店,新客
SO-20250603-0326,2025-06-03 09:00:00,电子产品,便携充电宝,5,129,645,432.81,212.19,华南,线上商城,老客
SO-20250603-0327,2025-06-03 11:00:00,服装鞋帽,纯棉T恤,1,79,79,55.69,23.31,华北,线下门店,老客
SO-20250604-0328,2025-06-04 22:00:00,美妆个护,保湿精华,5,359,1795,1361.45,433.55,华南,线下门店,会员
SO-20250605-0329,2025-06-05 11:00:00,美妆个护,氨基酸洗面奶,3,89,267,159.89,107.11,华南,线上商城,新客
SO-20250605-0330,2025-06-05 21:00:00,电子产品,无线蓝牙耳机,3,299,897,518.03,378.97,西南,直播带货,会员
SO-20250606-0331,2025-06-06 15:00:00,食品饮料,坚果礼盒,2,158,316,250.6,65.4,华北,小程序,新客
SO-20250607-0332,2025-06-07 11:00:00,服装鞋帽,轻薄羽绒服,1,899,899,646.4,252.6,西南,直播带货,会员
SO-20250607-0333,2025-06-07 15:00:00,食品饮料,精品咖啡豆,4,108,432,327.32,104.68,西南,小程序,会员
SO-20250607-0334,2025-06-07 17:00:00,食品饮料,进口红酒,4,268,1072,771.17,300.83,华东,小程序,新客
SO-20250607-0335,2025-06-07 19:00:00,服装鞋帽,轻薄羽绒服,4,899,3596,2780.47,815.53,华北,线下门店,新客
SO-20250608-0336,2025-06-08 00:00:00,家居日用,收纳箱,5,45,225,125.93,99.07,东北,线下门店,会员
SO-20250608-0337,2025-06-08 15:00:00,家居日用,收纳箱,2,45,90,71.94,18.06,华中,直播带货,会员
SO-20250608-0338,2025-06-08 16:00:00,食品饮料,精品咖啡豆,2,108,216,128.17,87.83,华中,线上商城,老客
SO-20250609-0339,2025-06-09 20:00:00,食品饮料,有机牛奶,5,59,295,239.65,55.35,华中,线下门店,老客
SO-20250610-0340,2025-06-10 04:00:00,电子产品,机械键盘,4,499,1996,1560.52,435.48,华东,小程序,新客
SO-20250611-0341,2025-06-11 00:00:00,电子产品,智能手表,3,1299,3897,2659.67,1237.33,东北,线上商城,老客
SO-20250611-0342,2025-06-11 07:00:00,服装鞋帽,轻薄羽绒服,5,899,4495,2768.96,1726.04,华东,线下门店,新客
SO-20250611-0343,2025-06-11 12:00:00,服装鞋帽,运动鞋,1,399,399,322.71,76.29,华中,线上商城,老客
SO-20250611-0344,2025-06-11 14:00:00,服装鞋帽,牛仔裤,3,259,777,530.11,246.89,西南,线下门店,老客
SO-20250611-0345,2025-06-11 23:00:00,服装鞋帽,纯棉T恤,4,79,316,247.02,68.98,华东,线下门店,老客
SO-20250612-0346,2025-06-12 00:00:00,美妆个护,氨基酸洗面奶,2,89,178,142.88,35.12,东北,线下门店,新客
SO-20250613-0347,2025-06-13 04:00:00,电子产品,智能手表,5,1299,6495,4591.23,1903.77,华北,小程序,老客
SO-20250613-0348,2025-06-13 07:00:00,家居日用,香薰蜡烛,3,69,207,155.74,51.26,华南,线下门店,新客
SO-20250613-0349,2025-06-13 14:00:00,家居日用,香薰蜡烛,1,69,69,43.16,25.84,华北,线下门店,会员
SO-20250613-0350,2025-06-13 19:00:00,服装鞋帽,运动鞋,5,399,1995,1507.74,487.26,华中,小程序,新客
SO-20250613-0351,2025-06-13 23:00:00,服装鞋帽,牛仔裤,1,259,259,191.27,67.73,华南,线下门店,新客
SO-20250614-0352,2025-06-14 00:00:00,食品饮料,有机牛奶,3,59,177,105.85,71.15,西南,直播带货,新客
SO-20250614-0353,2025-06-14 15:00:00,家居日用,落地灯,2,199,398,279.93,118.07,华北,直播带货,新客
SO-20250615-0354,2025-06-15 01:00:00,家居日用,香薰蜡烛,1,69,69,38.21,30.79,华南,直播带货,老客
SO-20250615-0355,2025-06-15 03:00:00,食品饮料,进口红酒,3,268,804,454.18,349.82,华北,线下门店,会员
SO-20250615-0356,2025-06-15 21:00:00,美妆个护,淡香水,5,499,2495,1960.25,534.75,华南,小程序,新客
SO-20250615-0357,2025-06-15 23:00:00,美妆个护,口红,5,219,1095,761.59,333.41,华中,线上商城,新客
SO-20250616-0358,2025-06-16 07:00:00,电子产品,无线蓝牙耳机,2,299,598,353.7,244.3,华东,小程序,新客
SO-20250616-0359,2025-06-16 08:00:00,电子产品,无线蓝牙耳机,2,299,598,448.96,149.04,华东,线上商城,会员
SO-20250616-0360,2025-06-16 17:00:00,美妆个护,氨基酸洗面奶,3,89,267,201.17,65.83,华北,线上商城,新客
SO-20250618-0361,2025-06-18 07:00:00,食品饮料,进口红酒,4,268,1072,780.62,291.38,西南,小程序,新客
SO-20250619-0362,2025-06-19 01:00:00,服装鞋帽,牛仔裤,3,259,777,464.44,312.56,东北,线上商城,会员
SO-20250619-0363,2025-06-19 09:00:00,食品饮料,坚果礼盒,5,158,790,586.06,203.94,华东,小程序,新客
SO-20250620-0364,2025-06-20 06:00:00,服装鞋帽,轻薄羽绒服,3,899,2697,1746.44,950.56,华东,线下门店,新客
SO-20250620-0365,2025-06-20 16:00:00,食品饮料,有机牛奶,3,59,177,106.75,70.25,华北,直播带货,老客
SO-20250621-0366,2025-06-21 07:00:00,电子产品,智能手表,3,1299,3897,2301.89,1595.11,华南,线上商城,新客
SO-20250622-0367,2025-06-22 04:00:00,美妆个护,氨基酸洗面奶,4,89,356,226.71,129.29,华中,线上商城,会员
SO-20250622-0368,2025-06-22 06:00:00,美妆个护,保湿精华,2,359,718,412.46,305.54,华南,直播带货,老客
SO-20250623-0369,2025-06-23 01:00:00,美妆个护,口红,1,219,219,133.17,85.83,西南,直播带货,新客
SO-20250623-0370,2025-06-23 09:00:00,食品饮料,精品咖啡豆,1,108,108,86.88,21.12,华南,直播带货,新客
SO-20250623-0371,2025-06-23 09:00:00,电子产品,无线蓝牙耳机,5,299,1495,1065.81,429.19,华中,线上商城,新客
SO-20250623-0372,2025-06-23 12:00:00,美妆个护,淡香水,1,499,499,283.42,215.58,西南,直播带货,新客
SO-20250623-0373,2025-06-23 15:00:00,食品饮料,精品咖啡豆,4,108,432,264.07,167.93,西南,小程序,会员
SO-20250623-0374,2025-06-23 19:00:00,家居日用,落地灯,1,199,199,110.97,88.03,西南,小程序,新客
SO-20250624-0375,2025-06-24 15:00:00,电子产品,无线蓝牙耳机,3,299,897,733.98,163.02,东北,小程序,新客
SO-20250624-0376,2025-06-24 19:00:00,家居日用,水洗棉四件套,4,329,1316,1023.79,292.21,东北,线上商城,老客
SO-20250624-0377,2025-06-24 23:00:00,食品饮料,坚果礼盒,3,158,474,371.0,103.0,西南,小程序,会员
SO-20250625-0378,2025-06-25 20:00:00,服装鞋帽,牛仔裤,3,259,777,545.75,231.25,西南,线下门店,会员
SO-20250626-0379,2025-06-26 03:00:00,美妆个护,保湿精华,2,359,718,562.84,155.16,东北,小程序,老客
SO-20250626-0380,2025-06-26 19:00:00,服装鞋帽,牛仔裤,5,259,1295,729.29,565.71,东北,线上商城,新客
SO-20250627-0381,2025-06-27 09:00:00,服装鞋帽,轻薄羽绒服,4,899,3596,2225.51,1370.49,西南,线上商城,会员
SO-20250627-0382,2025-06-27 11:00:00,美妆个护,氨基酸洗面奶,2,89,178,110.4,67.6,华南,直播带货,新客
SO-20250627-0383,2025-06-27 14:00:00,电子产品,便携充电宝,1,129,129,90.23,38.77,华中,线上商城,老客
SO-20250629-0384,2025-06-29 18:00:00,食品饮料,坚果礼盒,2,158,316,175.87,140.13,东北,直播带货,新客
SO-20250630-0385,2025-06-30 01:00:00,美妆个护,氨基酸洗面奶,4,89,356,203.89,152.11,华南,线上商城,会员
SO-20250701-0386,2025-07-01 13:00:00,家居日用,水洗棉四件套,1,329,329,202.38,126.62,华东,线下门店,老客
SO-20250701-0387,2025-07-01 20:00:00,电子产品,机械键盘,5,499,2495,1995.94,499.06,西南,小程序,老客
SO-20250702-0388,2025-07-02 18:00:00,食品饮料,进口红酒,2,268,536,394.1,141.9,华中,小程序,新客
SO-20250703-0389,2025-07-03 23:00:00,美妆个护,口红,4,219,876,503.25,372.75,西南,直播带货,新客
SO-20250704-0390,2025-07-04 00:00:00,服装鞋帽,牛仔裤,1,259,259,179.64,79.36,东北,直播带货,新客
SO-20250704-0391,2025-07-04 01:00:00,家居日用,落地灯,5,199,995,791.35,203.65,华中,直播带货,老客
SO-20250704-0392,2025-07-04 07:00:00,服装鞋帽,运动鞋,4,399,1596,1117.84,478.16,华中,线下门店,老客
SO-20250704-0393,2025-07-04 20:00:00,美妆个护,保湿精华,1,359,359,247.9,111.1,华北,直播带货,会员
SO-20250704-0394,2025-07-04 20:00:00,电子产品,便携充电宝,4,129,516,320.51,195.49,华北,直播带货,老客
SO-20250705-0395,2025-07-05 13:00:00,电子产品,无线蓝牙耳机,3,299,897,591.2,305.8,东北,直播带货,新客
SO-20250705-0396,2025-07-05 21:00:00,电子产品,智能手表,5,1299,6495,5241.6,1253.4,华东,线下门店,会员
SO-20250705-0397,2025-07-05 21:00:00,家居日用,收纳箱,5,45,225,160.9,64.1,华东,线上商城,老客
SO-20250706-0398,2025-07-06 01:00:00,服装鞋帽,纯棉T恤,5,79,395,271.34,123.66,华东,直播带货,老客
SO-20250706-0399,2025-07-06 13:00:00,美妆个护,保湿精华,3,359,1077,608.16,468.84,华北,直播带货,老客
SO-20250706-0400,2025-07-06 23:00:00,电子产品,无线蓝牙耳机,3,299,897,555.97,341.03,华东,小程序,老客
SO-20250708-0401,2025-07-08 23:00:00,食品饮料,进口红酒,4,268,1072,820.93,251.07,华北,线上商城,老客
SO-20250709-0402,2025-07-09 04:00:00,服装鞋帽,纯棉T恤,1,79,79,45.58,33.42,西南,线上商城,新客
SO-20250709-0403,2025-07-09 09:00:00,服装鞋帽,纯棉T恤,5,79,395,303.63,91.37,华中,线上商城,新客
SO-20250709-0404,2025-07-09 19:00:00,电子产品,机械键盘,4,499,1996,1551.97,444.03,华东,直播带货,会员
SO-20250710-0405,2025-07-10 02:00:00,美妆个护,淡香水,3,499,1497,1174.28,322.72,东北,线上商城,老客
SO-20250710-0406,2025-07-10 04:00:00,服装鞋帽,轻薄羽绒服,3,899,2697,2169.72,527.28,华中,线上商城,新客
SO-20250710-0407,2025-07-10 13:00:00,家居日用,水洗棉四件套,4,329,1316,999.76,316.24,华中,线上商城,会员
SO-20250711-0408,2025-07-11 07:00:00,家居日用,落地灯,2,199,398,310.54,87.46,华北,线下门店,会员
SO-20250712-0409,2025-07-12 14:00:00,家居日用,收纳箱,3,45,135,83.72,51.28,华东,直播带货,新客
SO-20250713-0410,2025-07-13 07:00:00,家居日用,水洗棉四件套,1,329,329,243.73,85.27,华东,小程序,会员
SO-20250713-0411,2025-07-13 20:00:00,电子产品,机械键盘,1,499,499,341.5,157.5,西南,线上商城,老客
SO-20250713-0412,2025-07-13 22:00:00,服装鞋帽,纯棉T恤,3,79,237,180.22,56.78,华中,线上商城,会员
SO-20250714-0413,2025-07-14 00:00:00,服装鞋帽,轻薄羽绒服,5,899,4495,3050.11,1444.89,华东,直播带货,新客
SO-20250714-0414,2025-07-14 07:00:00,服装鞋帽,轻薄羽绒服,1,899,899,540.26,358.74,东北,线下门店,老客
SO-20250714-0415,2025-07-14 08:00:00,服装鞋帽,牛仔裤,3,259,777,585.85,191.15,华南,小程序,会员
SO-20250714-0416,2025-07-14 08:00:00,电子产品,机械键盘,2,499,998,743.99,254.01,东北,线上商城,新客
SO-20250714-0417,2025-07-14 10:00:00,美妆个护,氨基酸洗面奶,4,89,356,233.08,122.92,华中,线下门店,老客
SO-20250714-0418,2025-07-14 16:00:00,电子产品,智能手表,3,1299,3897,2484.08,1412.92,东北,线上商城,老客
SO-20250714-0419,2025-07-14 21:00:00,食品饮料,精品咖啡豆,4,108,432,322.88,109.12,华中,线下门店,老客
SO-20250715-0420,2025-07-15 05:00:00,美妆个护,保湿精华,4,359,1436,1144.85,291.15,东北,小程序,会员
SO-20250716-0421,2025-07-16 03:00:00,食品饮料,坚果礼盒,1,158,158,107.68,50.32,华北,线上商城,老客
SO-20250716-0422,2025-07-16 06:00:00,美妆个护,氨基酸洗面奶,2,89,178,127.65,50.35,华中,小程序,新客
SO-20250716-0423,2025-07-16 19:00:00,服装鞋帽,运动鞋,4,399,1596,887.81,708.19,华北,小程序,会员
SO-20250716-0424,2025-07-16 20:00:00,服装鞋帽,牛仔裤,2,259,518,317.91,200.09,华中,线上商城,会员
SO-20250716-0425,2025-07-16 21:00:00,服装鞋帽,牛仔裤,2,259,518,415.24,102.76,华中,线下门店,会员
SO-20250716-0426,2025-07-16 22:00:00,家居日用,落地灯,4,199,796,601.34,194.66,华南,线下门店,新客
SO-20250718-0427,2025-07-18 12:00:00,电子产品,无线蓝牙耳机,4,299,1196,797.62,398.38,华北,线下门店,新客
SO-20250718-0428,2025-07-18 17:00:00,电子产品,智能手表,3,1299,3897,2865.25,1031.75,华东,线上商城,老客
SO-20250718-0429,2025-07-18 21:00:00,服装鞋帽,轻薄羽绒服,5,899,4495,3420.47,1074.53,华东,直播带货,会员
SO-20250719-0430,2025-07-19 14:00:00,食品饮料,坚果礼盒,4,158,632,504.43,127.57,华北,线下门店,新客
SO-20250720-0431,2025-07-20 02:00:00,电子产品,便携充电宝,3,129,387,290.71,96.29,西南,线上商城,会员
SO-20250721-0432,2025-07-21 04:00:00,电子产品,机械键盘,2,499,998,701.36,296.64,华北,直播带货,会员
SO-20250721-0433,2025-07-21 13:00:00,服装鞋帽,纯棉T恤,3,79,237,151.73,85.27,华南,小程序,老客
SO-20250721-0434,2025-07-21 19:00:00,美妆个护,口红,2,219,438,252.37,185.63,华中,线下门店,会员
SO-20250722-0435,2025-07-22 12:00:00,服装鞋帽,纯棉T恤,1,79,79,47.76,31.24,华东,直播带货,老客
SO-20250722-0436,2025-07-22 13:00:00,家居日用,落地灯,2,199,398,229.01,168.99,西南,线上商城,老客
SO-20250722-0437,2025-07-22 19:00:00,家居日用,水洗棉四件套,5,329,1645,1068.9,576.1,西南,小程序,新客
SO-20250722-0438,2025-07-22 20:00:00,食品饮料,进口红酒,5,268,1340,860.99,479.01,华南,线上商城,会员
SO-20250722-0439,2025-07-22 22:00:00,美妆个护,淡香水,5,499,2495,1937.49,557.51,华中,线下门店,老客
SO-20250723-0440,2025-07-23 02:00:00,食品饮料,精品咖啡豆,3,108,324,223.02,100.98,东北,线下门店,新客
SO-20250723-0441,2025-07-23 19:00:00,美妆个护,保湿精华,1,359,359,248.48,110.52,华南,线上商城,会员
SO-20250725-0442,2025-07-25 07:00:00,食品饮料,有机牛奶,4,59,236,165.33,70.67,东北,线下门店,老客
SO-20250725-0443,2025-07-25 09:00:00,服装鞋帽,纯棉T恤,2,79,158,109.28,48.72,东北,线下门店,新客
SO-20250725-0444,2025-07-25 11:00:00,家居日用,香薰蜡烛,5,69,345,275.37,69.63,华中,直播带货,新客
SO-20250725-0445,2025-07-25 14:00:00,服装鞋帽,纯棉T恤,2,79,158,102.6,55.4,华中,小程序,新客
SO-20250726-0446,2025-07-26 04:00:00,电子产品,无线蓝牙耳机,1,299,299,210.66,88.34,华北,直播带货,会员
SO-20250726-0447,2025-07-26 22:00:00,食品饮料,坚果礼盒,3,158,474,339.32,134.68,华北,直播带货,老客
SO-20250727-0448,2025-07-27 11:00:00,电子产品,智能手表,3,1299,3897,3135.04,761.96,东北,直播带货,老客
SO-20250727-0449,2025-07-27 14:00:00,食品饮料,精品咖啡豆,4,108,432,320.41,111.59,华中,小程序,会员
SO-20250728-0450,2025-07-28 07:00:00,美妆个护,保湿精华,2,359,718,424.1,293.9,华东,线上商城,新客
SO-20250728-0451,2025-07-28 19:00:00,电子产品,智能手表,1,1299,1299,800.75,498.25,华东,线下门店,老客
